    date            abt        vwretd        ewretd        sprtrn
19720131       0.039147      0.028383      0.103892      0.018121
19720229       0.076779      0.031349      0.041809      0.025303
19720330      -0.029565      0.008722     -0.000951      0.005912
19720428       0.021864      0.005505      0.001231      0.004384
19720531       0.054577      0.016375     -0.018121      0.017275
19720630       0.038397     -0.020896     -0.033775     -0.021821
19720731       0.043730     -0.004254     -0.029488      0.002333
19720831      -0.018547      0.035966      0.012252      0.034454
19720929      -0.056693     -0.007671     -0.030725     -0.004861
19721031       0.007012      0.008676     -0.013767      0.009317
19721130      -0.033278      0.049764      0.051096      0.045617
19721229      -0.036145      0.011243     -0.019873      0.011828
19730131       0.052143     -0.027455     -0.026133     -0.017111
19730228      -0.003407     -0.044368     -0.072836     -0.037490
19730330       0.047863     -0.007851     -0.028981     -0.001433
19730430      -0.072757     -0.051759     -0.070620     -0.040800
19730531      -0.060071     -0.024503     -0.083582     -0.018884
19730629      -0.007519     -0.008647     -0.037745     -0.006575
19730731       0.089773      0.056954      0.105922      0.037982
19730831      -0.078534     -0.029648     -0.044417     -0.036685
19730928      -0.020833      0.053937      0.072995      0.040096
19731031       0.054932     -0.000427      0.000303     -0.001291
19731130      -0.154696     -0.120703     -0.175252     -0.113861
19731231      -0.130719      0.011425     -0.041764      0.016569
19740131       0.043609      0.004408      0.132374     -0.010046
19740228       0.045894      0.002352      0.008623     -0.003624
19740329      -0.004619     -0.023365      0.008379     -0.023280
19740430       0.036288     -0.045957     -0.055537     -0.039051
19740531       0.018018     -0.041982     -0.072545     -0.033551
19740628      -0.022124     -0.022942     -0.033483     -0.014665
19740731      -0.066425     -0.070879     -0.051915     -0.077791
19740830      -0.234146     -0.087756     -0.085788     -0.090279
19740930      -0.178344     -0.109718     -0.079025     -0.119335
19741031       0.382326      0.165585      0.088877      0.163047
19741129       0.067797     -0.041047     -0.051395     -0.053180
19741231       0.074074     -0.027005     -0.080744     -0.020151
19750131       0.105025      0.141600      0.299260      0.122812
19750228       0.118834      0.058411      0.053918      0.059886
19750331       0.116232      0.030191      0.081497      0.021694
19750430       0.041077      0.046497      0.031093      0.047265
19750530       0.024263      0.055140      0.072876      0.044101
19750630       0.032149      0.051473      0.071792      0.044323
19750731      -0.011672     -0.060385     -0.008960     -0.067654
19750829      -0.013333     -0.023557     -0.048118     -0.021070
19750930      -0.070946     -0.038010     -0.038867     -0.034645
19751031       0.133091      0.055857      0.014720      0.061643
19751128       0.058065      0.031223      0.016796      0.024708
19751231       0.006098     -0.010998     -0.000599     -0.011508
19760130       0.047273      0.126011      0.190037      0.118306
19760227      -0.066860      0.007314      0.106291     -0.011402
19760331       0.130841      0.026799      0.018109      0.030689
19760430      -0.006171     -0.010389     -0.003810     -0.010995
19760528      -0.008357     -0.009369     -0.019680     -0.014364
19760630      -0.005618      0.044487      0.026510      0.040926
19760730       0.069944     -0.006157      0.002236     -0.008055
19760831       0.074271     -0.001435     -0.016673     -0.005124
19760930       0.029630      0.024484      0.016990      0.022641
19761029       0.021007     -0.020373     -0.022586     -0.022235
19761130      -0.089623      0.005364      0.026686     -0.007775
19761231       0.018135      0.061591      0.102410      0.052498
19770131      -0.073791     -0.036337      0.036903     -0.050530
19770228      -0.005525     -0.015760      0.004400     -0.021660
19770331      -0.033333     -0.009246      0.010654     -0.014025
19770429      -0.037356      0.004952      0.016931      0.000203
19770531      -0.054054     -0.010785      0.002870     -0.023568
19770630       0.126984      0.051367      0.051503      0.045360
19770729       0.054648     -0.012810      0.012362     -0.016222
19770831       0.056452     -0.013352     -0.001233     -0.021042
19770930       0.043257      0.001574      0.014968     -0.002480
19771031      -0.025854     -0.039280     -0.023190     -0.043406
19771130       0.078086      0.045432      0.070872      0.026966
19771230       0.056075      0.008218      0.021081      0.002847
19780131      -0.087611     -0.055202     -0.011152     -0.061514
19780228       0.002439     -0.009275      0.026008     -0.024762
19780331       0.075426      0.034013      0.067839      0.024931
19780428       0.090226      0.082841      0.079317      0.085416
19780531       0.052192      0.023238      0.067620      0.004234
19780630       0.027778     -0.010751      0.010292     -0.017585
19780731       0.156139      0.056749      0.052394      0.053910
19780831      -0.036913      0.042352      0.093545      0.025924
19780929      -0.027875     -0.006891      0.006200     -0.007261
19781031      -0.083584     -0.110997     -0.177280     -0.091574
19781130       0.000000      0.033792      0.038205      0.016640
19781229       0.062992      0.017710      0.014346      0.014889
19790131      -0.001185      0.049489      0.093661      0.039746
19790228      -0.108209     -0.026766     -0.016269     -0.036526
19790330       0.100418      0.065618      0.084167      0.055152
19790430      -0.011407      0.008522      0.028814      0.001673
19790531      -0.027132     -0.013576     -0.006845     -0.026336
19790629       0.087649      0.046850      0.054663      0.038656
19790731       0.036630      0.014991      0.021366      0.008746
19790831       0.056940      0.064728      0.075616      0.053078
19790928       0.033670      0.001428     -0.001172      0.000000
19791031      -0.003257     -0.072660     -0.097915     -0.068606
19791130       0.049342      0.063603      0.065295      0.042624
19791231       0.031348      0.028212      0.067485      0.016767
19800131      -0.051672      0.065607      0.105129      0.057625
19800229      -0.038710      0.001015     -0.006301     -0.004380
19800331      -0.016779     -0.120224     -0.165043     -0.101795
19800430       0.103754      0.052288      0.053461      0.041140
19800530       0.062305      0.060090      0.071249      0.046571
19800630      -0.011730      0.037714      0.046176      0.026969
19800731       0.149555      0.069438      0.089279      0.065039
19800829      -0.005195      0.023553      0.063984      0.005835
19800930       0.075718      0.029498      0.052459      0.025168
19801031      -0.028155      0.020093      0.047525      0.016021
19801128       0.075377      0.104951      0.069205      0.102377
19801231       0.056075     -0.034409     -0.032416     -0.033874
